Percentage of ED visits by syndrome: COVID-19-Like Illness Shortness of Breath and Pneumonia
Date generated: Wed Jul 22 2020 02:09:19 GMT-0400 (Eastern Daylight Time)

Geography,Date,Syndrome,Percent
Arizona,2020-06-14,CLI,7.7
Arizona,2020-06-15,CLI,9.6
Arizona,2020-06-16,CLI,8.8
Arizona,2020-06-17,CLI,9.7
Arizona,2020-06-18,CLI,11.2
Arizona,2020-06-19,CLI,11.1
Arizona,2020-06-20,CLI,11.8
Arizona,2020-06-21,CLI,11.8
Arizona,2020-06-22,CLI,12.6
Arizona,2020-06-23,CLI,13
Arizona,2020-06-24,CLI,12.9
Arizona,2020-06-25,CLI,15.3
Arizona,2020-06-26,CLI,14.2
Arizona,2020-06-27,CLI,13.7
Arizona,2020-06-28,CLI,14.6
Arizona,2020-06-29,CLI,15.4
Arizona,2020-06-30,CLI,15.7
Arizona,2020-07-01,CLI,16
Arizona,2020-07-02,CLI,15
Arizona,2020-07-03,CLI,15
Arizona,2020-07-04,CLI,15.4
Arizona,2020-07-05,CLI,16.1
Arizona,2020-07-06,CLI,16
Arizona,2020-07-07,CLI,14.9
Arizona,2020-07-08,CLI,14.2
Arizona,2020-07-09,CLI,13.2
Arizona,2020-07-10,CLI,13.1
Arizona,2020-07-11,CLI,11.8
Arizona,2020-07-12,CLI,11.4
Arizona,2020-07-13,CLI,11.2
Arizona,2020-07-14,CLI,9.6
Arizona,2020-07-15,CLI,9.7
Arizona,2020-07-16,CLI,8
Arizona,2020-07-17,CLI,8.1
Arizona,2020-07-18,CLI,6.1
Arkansas,2020-05-23,CLI,1.6
Arkansas,2020-05-24,CLI,1.3
Arkansas,2020-05-25,CLI,1.1
Arkansas,2020-05-26,CLI,0.8
Arkansas,2020-05-27,CLI,1.2
Arkansas,2020-05-28,CLI,1.7
Arkansas,2020-05-29,CLI,1.5
Arkansas,2020-05-30,CLI,1.4
Arkansas,2020-05-31,CLI,1.7
Arkansas,2020-06-01,CLI,1.8
Arkansas,2020-06-02,CLI,1.1
Arkansas,2020-06-03,CLI,1.4
Arkansas,2020-06-04,CLI,1.5
Arkansas,2020-06-05,CLI,1.2
Arkansas,2020-06-06,CLI,1.6
Arkansas,2020-06-07,CLI,2.1
Arkansas,2020-06-08,CLI,1.5
Arkansas,2020-06-09,CLI,1
Arkansas,2020-06-10,CLI,1.1
Arkansas,2020-06-11,CLI,1.3
Arkansas,2020-06-12,CLI,1.1
Arkansas,2020-06-13,CLI,1.4
Arkansas,2020-06-14,CLI,1.6
Arkansas,2020-06-15,CLI,1.7
Arkansas,2020-06-16,CLI,1.7
Arkansas,2020-06-17,CLI,1.6
Arkansas,2020-06-18,CLI,2
Arkansas,2020-06-19,CLI,1.4
Arkansas,2020-06-20,CLI,2
Arkansas,2020-06-21,CLI,1.9
Arkansas,2020-06-22,CLI,1.9
Arkansas,2020-06-23,CLI,2.3
Arkansas,2020-06-24,CLI,1.4
Arkansas,2020-06-25,CLI,1.9
Arkansas,2020-06-26,CLI,1.8
Arkansas,2020-06-27,CLI,2.2
Arkansas,2020-06-28,CLI,2.3
Arkansas,2020-06-29,CLI,2.2
Arkansas,2020-06-30,CLI,2.4
Arkansas,2020-07-01,CLI,2.1
Arkansas,2020-07-02,CLI,1.8
Arkansas,2020-07-03,CLI,2.1
Arkansas,2020-07-04,CLI,2.7
Arkansas,2020-07-05,CLI,2.6
Arkansas,2020-07-06,CLI,2.4
Arkansas,2020-07-07,CLI,2.3
Arkansas,2020-07-08,CLI,2.7
Arkansas,2020-07-09,CLI,2.3
Arkansas,2020-07-10,CLI,2.6
Arkansas,2020-07-11,CLI,2.3
Arkansas,2020-07-12,CLI,2.8
Arkansas,2020-07-13,CLI,2.4
Arkansas,2020-07-14,CLI,2.3
Arkansas,2020-07-15,CLI,2.4
Arkansas,2020-07-16,CLI,1.9
Arkansas,2020-07-17,CLI,1.9
Arkansas,2020-07-18,CLI,2
Connecticut,2020-05-23,CLI,3.7
Connecticut,2020-05-24,CLI,2.5
Connecticut,2020-05-25,CLI,3.4
Connecticut,2020-05-26,CLI,2.7
Connecticut,2020-05-27,CLI,2.9
Connecticut,2020-05-28,CLI,2.6
Connecticut,2020-05-29,CLI,2.6
Connecticut,2020-05-30,CLI,2.1
Connecticut,2020-05-31,CLI,1.8
Connecticut,2020-06-01,CLI,1.6
Connecticut,2020-06-02,CLI,2.1
Connecticut,2020-06-03,CLI,2.1
Connecticut,2020-06-04,CLI,2.1
Connecticut,2020-06-05,CLI,2
Connecticut,2020-06-06,CLI,2.1
Connecticut,2020-06-07,CLI,1.5
Connecticut,2020-06-08,CLI,1.5
Connecticut,2020-06-09,CLI,1.9
Connecticut,2020-06-10,CLI,1.6
Connecticut,2020-06-11,CLI,1.2
Connecticut,2020-06-12,CLI,1.4
Connecticut,2020-06-13,CLI,1.4
Connecticut,2020-06-14,CLI,1.3
Connecticut,2020-06-15,CLI,1.4
Connecticut,2020-06-16,CLI,0.9
Connecticut,2020-06-17,CLI,1.5
Connecticut,2020-06-18,CLI,0.8
Connecticut,2020-06-19,CLI,1.4
Connecticut,2020-06-20,CLI,1.5
Connecticut,2020-06-21,CLI,1.3
Connecticut,2020-06-22,CLI,1.2
Connecticut,2020-06-23,CLI,0.9
Connecticut,2020-06-24,CLI,1.3
Connecticut,2020-06-25,CLI,1
Connecticut,2020-06-26,CLI,1.6
Connecticut,2020-06-27,CLI,1.3
Connecticut,2020-06-28,CLI,1.3
Connecticut,2020-06-29,CLI,1.5
Connecticut,2020-06-30,CLI,1.1
Connecticut,2020-07-01,CLI,1.2
Connecticut,2020-07-02,CLI,1.4
Connecticut,2020-07-03,CLI,1.1
Connecticut,2020-07-04,CLI,1
Connecticut,2020-07-05,CLI,1.4
Connecticut,2020-07-06,CLI,1
Connecticut,2020-07-07,CLI,2
Connecticut,2020-07-08,CLI,1.5
Connecticut,2020-07-09,CLI,1.2
Connecticut,2020-07-10,CLI,1.5
Connecticut,2020-07-11,CLI,1.7
Connecticut,2020-07-12,CLI,1.3
Connecticut,2020-07-13,CLI,1.2
Connecticut,2020-07-14,CLI,1.5
Connecticut,2020-07-15,CLI,1
Connecticut,2020-07-16,CLI,1.3
Connecticut,2020-07-17,CLI,1.2
Connecticut,2020-07-18,CLI,1.6
Delaware,2020-05-23,CLI,3.3
Delaware,2020-05-24,CLI,2.9
Delaware,2020-05-25,CLI,3.3
Delaware,2020-05-26,CLI,2
Delaware,2020-05-27,CLI,2.6
Delaware,2020-05-28,CLI,4.8
Delaware,2020-05-29,CLI,2.3
Delaware,2020-05-30,CLI,3.5
Delaware,2020-05-31,CLI,2.5
Delaware,2020-06-01,CLI,2.5
Delaware,2020-06-02,CLI,2.2
Delaware,2020-06-03,CLI,2.7
Delaware,2020-06-04,CLI,2.1
Delaware,2020-06-05,CLI,2.9
Delaware,2020-06-06,CLI,1.9
Delaware,2020-06-07,CLI,4
Delaware,2020-06-08,CLI,2
Delaware,2020-06-09,CLI,1.9
Delaware,2020-06-10,CLI,1.8
Delaware,2020-06-11,CLI,2
Delaware,2020-06-12,CLI,2.2
Delaware,2020-06-13,CLI,1.3
Delaware,2020-06-14,CLI,1.7
Delaware,2020-06-15,CLI,2.4
Delaware,2020-06-16,CLI,2.2
Delaware,2020-06-17,CLI,1.3
Delaware,2020-06-18,CLI,1.8
Delaware,2020-06-19,CLI,1.8
Delaware,2020-06-20,CLI,2.3
Delaware,2020-06-21,CLI,1.8
Delaware,2020-06-22,CLI,2.1
Delaware,2020-06-23,CLI,2.1
Delaware,2020-06-24,CLI,1.5
Delaware,2020-06-25,CLI,1.9
Delaware,2020-06-26,CLI,1.4
Delaware,2020-06-27,CLI,4.7
Delaware,2020-06-28,CLI,2.8
Delaware,2020-06-29,CLI,2.9
Delaware,2020-06-30,CLI,1.9
Delaware,2020-07-01,CLI,1.8
Delaware,2020-07-02,CLI,2.4
Delaware,2020-07-03,CLI,1.8
Delaware,2020-07-04,CLI,3
Delaware,2020-07-05,CLI,3.5
Delaware,2020-07-06,CLI,2.8
Delaware,2020-07-07,CLI,3.1
Delaware,2020-07-08,CLI,2.7
Delaware,2020-07-09,CLI,1.8
Delaware,2020-07-10,CLI,2.2
Delaware,2020-07-11,CLI,2.4
Delaware,2020-07-12,CLI,2.1
Delaware,2020-07-13,CLI,2
Delaware,2020-07-14,CLI,1.9
Delaware,2020-07-15,CLI,1.8
Delaware,2020-07-16,CLI,1
Delaware,2020-07-17,CLI,1
Delaware,2020-07-18,CLI,1.2
District of Columbia,2020-05-23,CLI,8.3
District of Columbia,2020-05-24,CLI,6.8
District of Columbia,2020-05-25,CLI,6.7
District of Columbia,2020-05-26,CLI,6.4
District of Columbia,2020-05-27,CLI,7.5
District of Columbia,2020-05-28,CLI,6.8
District of Columbia,2020-05-29,CLI,5.6
District of Columbia,2020-05-30,CLI,4.7
District of Columbia,2020-05-31,CLI,5.1
District of Columbia,2020-06-01,CLI,4
District of Columbia,2020-06-02,CLI,3.1
District of Columbia,2020-06-03,CLI,5
District of Columbia,2020-06-04,CLI,3.8
District of Columbia,2020-06-05,CLI,2.6
District of Columbia,2020-06-06,CLI,3.9
District of Columbia,2020-06-07,CLI,2.2
District of Columbia,2020-06-08,CLI,3.3
District of Columbia,2020-06-09,CLI,4.1
District of Columbia,2020-06-10,CLI,3.1
District of Columbia,2020-06-11,CLI,2.5
District of Columbia,2020-06-12,CLI,2.1
District of Columbia,2020-06-13,CLI,2
District of Columbia,2020-06-14,CLI,2.5
District of Columbia,2020-06-15,CLI,3.3
District of Columbia,2020-06-16,CLI,3
District of Columbia,2020-06-17,CLI,1.7
District of Columbia,2020-06-18,CLI,2.2
District of Columbia,2020-06-19,CLI,3.2
District of Columbia,2020-06-20,CLI,2.7
District of Columbia,2020-06-21,CLI,2.3
District of Columbia,2020-06-22,CLI,2.8
District of Columbia,2020-06-23,CLI,1.9
District of Columbia,2020-06-24,CLI,2.3
District of Columbia,2020-06-25,CLI,2.7
District of Columbia,2020-06-26,CLI,2
District of Columbia,2020-06-27,CLI,2.5
District of Columbia,2020-06-28,CLI,1.5
District of Columbia,2020-06-29,CLI,1.6
District of Columbia,2020-06-30,CLI,1.7
District of Columbia,2020-07-01,CLI,2.5
District of Columbia,2020-07-02,CLI,1.2
District of Columbia,2020-07-03,CLI,1.9
District of Columbia,2020-07-04,CLI,3
